id,name,ordering
"1","Aircraft"
"2","Apartment Block"
"3","Appliance manufacturing"
"4","Automobiles"
"5","Carpet production"
"6","Cleaning product production"
"7","Clothing sales"
"8","Coach"
"9","Custodial care"
"10","Data processing"
"11","Day care"
"12","Dining facilities"
"13","Dry cleaning"
"14","Electrical and electronic sales"
"15","Electricity generation"
"16","Food processing"
"17","Furniture production"
"18","Furniture sales"
"19","Hypermarket"
"20","Kindergarten"
"21","Laboratories"
"22","Laundries"
"23","Machinery manufacture"
"24","Market"
"25","Media services"
"26","Medical care"
"27","Medical clinics"
"28","Metal work"
"29","Mining"
"30","Multi Family House"
"31","Offices"
"32","Other manufacturing"
"33","Other vehicles"
"34","Pharmaceuticals"
"35","Pharmacies"
"36","Photographic processing"
"37","Plastics production"
"38","Post"
"39","Printers"
"40","Printing"
"41","Public transportation"
"42","Recreation"
"43","Salon"
"44","School"
"45","Secure"
"46","Shared residential"
"47","Single Family House"
"48","Specialty retail"
"49","Sports"
"50","Terraced House"
"51","Textile manufacturing"
"52","Theatres"
"53","Tobacco processing"
"54","Training"
"55","Trains"
"56","Transient residential"
"57","Transportation dispatch"
"58","Trucks"
"59","Vehicle manufacturing"
"60","Vehicle sales"
"61","Veterinary facilities"
"62","Waste incineration"
"63","Waste processing"
"64","Wood and paper processing"
"65","Other"
